"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"4B",,,,,4,,"Esc. Nº24 ""Contralmte. Martín Guerrico"" - Lynch 3536"
"4B",,,,,4,,"Inst. San Vicente de Paul - Alberto Einstein 599"
"4B",,,,,3,,"Esc. Nº23 ""Dr. Lorenzo Anadón"" - Traful 3847"
"4B",,,,,4,,"Esc. Nº16 ""Sabina B. de Bozzalla"" - Av. Amancio Alcorta 3402"
"4B",,,,,3,4,"Colegio Ntra. Sra. de la Divina Providencia - Cachi 724 / 730"
"4B",,,,,3,3,"Club Franja de Oro - Av. Amancio Alcorta 3950"
"4B",,,,,3,,"Esc. Nº17 ""Pedro Melitón Ledesma"" - Traful 3835 / s/n"
"4B",,,,,4,,"Club Miriñaque - Lynch 3471"
"4B",,,,,3,,"Esc N°2 ""Dr. Genaro Sisto"" - Tilcara 3365"
"4B",,,,,4,,"Inst. San Antonio de Padua - Tilcara 3178"
"4B",,,,,4,,"Esc. Nº33 ""F. M. del Plumerillo"" - Av. Int. Francisco Rabanal 1549 / s/n"
"4B",,,,,4,,"Esc. Nº6 ""Dr. Adolfo Saldías"" - Echauri 1576"
"4B",,,,,4,,"Esc. Nº13 ""Pte. Alberti"" - Itaquí 2050"
"4B",,,,,3,,"Esc. Nº3 ""Prof. Carlos J. Forit"" - Tilcara 2856"
"4B",,,,,5,8,"Inst. Nueva Pompeya - Fournier 3157"
"4B",,,,,7,,"Esc. Nº5 ""Pcia. de Corrientes"" - Av. Caseros 4050"
"4B",,,,,9,8,"Esc. Nº14 ""Pcia. de San Luis"" - Cachi 77"
"4B",,,,,7,,"Esc. Nº7 ""Aeronáutica Argentina"" - Quilmes 473"
"4B",,,,,3,,"Esc. Nº1 ""María Silventi de Amato "" - Alagón 300"
"4B",,,,,6,,"Esc. Nº10 ""Homero Manzi"" - A. Pedro Arbeletche 1052"
"4B",,,,,6,,"Jardín de infantes N°15 - Andres Ferreyra 3705"
"4B",,,,,10,6,"Esc. Nº22 ""Juana Azurduy"" - Mom 2358"
"4B",,,,,5,,"Esc. Nº21 - Andrés Ferreyra 3749"
